file_name,file_code,parameter,orig_variable_code,variable_code,Unit,type_variable,classes,range,valid_values,missing_values,missing_pop,del,metadati_fattori,metadati_normalizzazione,Unnamed: 14,Unnamed: 15
,UCBERKELEY_TAU_6MM,,CTX_PARAHIPPOCAMPAL_SUVR,PARAHIPPOCAMPAL_SUVR,,<class 'numpy.float64'>,,"3.196, 0.682",2224.0,91.0,pop not found,keep,,,,
,UCBERKELEY_TAU_6MM,,CTX_PRECUNEUS_SUVR,PRECUNEUS_SUVR,,<class 'numpy.float64'>,,"4.037, 0.638",2224.0,91.0,pop not found,keep,,,,
,UCBERKELEY_TAU_6MM,,,VISIT_MONTH,,<class 'numpy.int64'>,,"119.0, 0.0",2315.0,0.0,pop not found,keep,,,,
,UCBERKELEY_TAU_6MM,,,METHOD,,<class 'str'>,"FTP, unknown",,2315.0,0.0,pop not found,keep,,,,
,UCBERKELEY_TAU_6MM,,,CTX_ENTORHINAL_VOLUME,,<class 'numpy.float64'>,,"5946.0, 746.0",2224.0,91.0,pop not found,keep,,,,
,UCBERKELEY_TAU_6MM,,,CSF_VOLUME,,<class 'numpy.float64'>,,"3763.0, 628.0",2224.0,91.0,pop not found,keep,,,,
,UCBERKELEY_TAU_6MM,,,CTX_FUSIFORM_VOLUME,,<class 'numpy.float64'>,,"26688.0, 9510.0",2224.0,91.0,pop not found,keep,,,,
,UCBERKELEY_TAU_6MM,,,CTX_INFERIORPARIETAL_VOLUME,,<class 'numpy.float64'>,,"37678.0, 12378.0",2224.0,91.0,pop not found,keep,,,,
,UCBERKELEY_TAU_6MM,,,CTX_INFERIORTEMPORAL_VOLUME,,<class 'numpy.float64'>,,"31454.0, 9660.0",2224.0,91.0,pop not found,keep,,,,
,UCBERKELEY_TAU_6MM,,,CTX_LATERALOCCIPITAL_VOLUME,,<class 'numpy.float64'>,,"35627.0, 9370.0",2224.0,91.0,pop not found,keep,,,,
