file_name,file_code,parameter,orig_variable_code,variable_code,Unit,type_variable,classes,range,subj_tot,subj_multiple_visits,valid_values,missing_values,missing_pop,del,metadati_fattori,metadati_normalizzazione,Unnamed: 14,Unnamed: 15,population
Mini Mental State Exam,MMSE,Cohort,PHASE,COHORT,,<class 'str'>,"ADNI1, ADNIGO, ADNI2, ADNI3, ADNI4",None,4700.0,2213.0,14335.0,0.0,,keep,,,,,
Mini Mental State Exam,MMSE,ID,RID,RID,,<class 'numpy.int64'>,None,"10898.0, 1.0",4700.0,2213.0,14335.0,0.0,,keep,,,,,
Mini Mental State Exam,MMSE,Visit,VISDATE,EXAMDATE,,<class 'str'>,"2005-08-17, 2006-03-06, 2008-08-27, 2010-09-22, 2011-09-19",None,4700.0,2213.0,14332.0,3.0,,keep,,,,,
Mini Mental State Exam,MMSE,MMSE,MMSCORE,MMSE,,<class 'numpy.float64'>,None,"30.0, -1.0",4700.0,2213.0,14335.0,0.0,,keep,predittore,scala,,,
Mini Mental State Exam,MMSE,Visit,VISCODE2,VISCODE,,<class 'str'>,"sc, m06, m36, m60, m72",None,4698.0,2211.0,14331.0,4.0,,keep,,,,,
Mini Mental State Exam,MMSE,Other,update_stamp,update_stamp,,<class 'str'>,"2024-08-22 07:18:34.0, 2017-10-26 14:26:33.0, 2006-09-06 00:00:00.0, 2008-09-10 00:00:00.0, 2009-10-16 00:00:00.0",None,4700.0,2213.0,14335.0,0.0,,keep,,,,,
Mini Mental State Exam,MMSE,,,VISIT_MONTH,,<class 'numpy.float64'>,None,"232.0, 0.0",4700.0,2213.0,14332.0,3.0,,keep,,,,,
Diagnostic Summary,DXSUM,Cohort,PHASE,COHORT,,<class 'str'>,ADNI1,,641.0,588.0,2750.0,0.0,"ADNIGO, ADNI2, ADNI3, ADNI4",keep,,,,,
Diagnostic Summary,DXSUM,ID,RID,RID,,<class 'numpy.int64'>,,"1427.0, 2.0",641.0,588.0,2750.0,0.0,"ADNIGO, ADNI2, ADNI3, ADNI4",keep,,,,,
Diagnostic Summary,DXSUM,Visit,EXAMDATE,EXAMDATE,,<class 'str'>,"2005-09-29, 2006-03-06, 2008-08-27, 2005-09-30, 2006-03-09",,641.0,588.0,2750.0,0.0,"ADNIGO, ADNI2, ADNI3, ADNI4",keep,,,,,
